val_Total_Loss,val_Energy_MAE,val_Force_MAE,val_Stress_MAE,val_Site_Wise_MAE,val_Energy_RMSE,val_Force_RMSE,val_Stress_RMSE,val_Site_Wise_RMSE,epoch,step,train_Total_Loss,train_Energy_MAE,train_Force_MAE,train_Stress_MAE,train_Site_Wise_MAE,train_Energy_RMSE,train_Force_RMSE,train_Stress_RMSE,train_Site_Wise_RMSE
0.8434469103813171,0.007139282301068306,0.8363075852394104,0.0,0.0,0.0071946000680327415,1.1252648830413818,0.0,0.0,0,49,,,,,,,,,
,,,,,,,,,0,49,0.8460227251052856,0.008097915910184383,0.8379246592521667,0.0,0.0,0.009689015336334705,1.1268301010131836,0.0,0.0
0.833605170249939,0.007101135328412056,0.8265040516853333,0.0,0.0,0.007350679486989975,1.115479826927185,0.0,0.0,1,99,,,,,,,,,
,,,,,,,,,1,99,0.8436930179595947,0.007570877205580473,0.8361221551895142,0.0,0.0,0.009129856713116169,1.1252269744873047,0.0,0.0
0.529081404209137,0.06250473111867905,0.4665766954421997,0.0,0.0,0.06277049332857132,0.6861618757247925,0.0,0.0,2,149,,,,,,,,,
,,,,,,,,,2,149,0.6953502893447876,0.02899063192307949,0.6663597226142883,0.0,0.0,0.03009783662855625,0.9255684018135071,0.0,0.0
0.36754754185676575,0.01153640728443861,0.35601112246513367,0.0,0.0,0.012910869903862476,0.5177195072174072,0.0,0.0,3,199,,,,,,,,,
,,,,,,,,,3,199,0.44114482402801514,0.028379593044519424,0.4127650558948517,0.0,0.0,0.029220938682556152,0.598105251789093,0.0,0.0
0.3446292579174042,0.006454696878790855,0.3381744623184204,0.0,0.0,0.007639648858457804,0.4671669900417328,0.0,0.0,4,249,,,,,,,,,
,,,,,,,,,4,249,0.35237303376197815,0.020101699978113174,0.3322713077068329,0.0,0.0,0.021066373214125633,0.4765786826610565,0.0,0.0
0.29929953813552856,0.008935622870922089,0.2903638780117035,0.0,0.0,0.010139990597963333,0.4200283885002136,0.0,0.0,5,299,,,,,,,,,
,,,,,,,,,5,299,0.3257604241371155,0.025052642449736595,0.30070769786834717,0.0,0.0,0.02572454698383808,0.4349476099014282,0.0,0.0
0.33984261751174927,0.03937263414263725,0.3004699647426605,0.0,0.0,0.03968276455998421,0.41647130250930786,0.0,0.0,6,349,,,,,,,,,
,,,,,,,,,6,349,0.28555506467819214,0.015732040628790855,0.2698230445384979,0.0,0.0,0.016454748809337616,0.3946830630302429,0.0,0.0
0.2482936531305313,0.015478210523724556,0.2328154593706131,0.0,0.0,0.016143798828125,0.343200147151947,0.0,0.0,7,399,,,,,,,,,
,,,,,,,,,7,399,0.29021167755126953,0.02469383180141449,0.26551780104637146,0.0,0.0,0.025215039029717445,0.3786986172199249,0.0,0.0
0.2625546157360077,0.03826240450143814,0.22429218888282776,0.0,0.0,0.038473013788461685,0.3290228545665741,0.0,0.0,8,449,,,,,,,,,
,,,,,,,,,8,449,0.2741091251373291,0.030680619180202484,0.24342843890190125,0.0,0.0,0.031074343249201775,0.3505808711051941,0.0,0.0
0.22281910479068756,0.006237716879695654,0.2165813446044922,0.0,0.0,0.007044714875519276,0.31457382440567017,0.0,0.0,9,499,,,,,,,,,
,,,,,,,,,9,499,0.24523921310901642,0.022847823798656464,0.22239141166210175,0.0,0.0,0.02335658296942711,0.3248388171195984,0.0,0.0
0.20874826610088348,0.004681549035012722,0.2040667086839676,0.0,0.0,0.005545942112803459,0.29770660400390625,0.0,0.0,10,549,,,,,,,,,
,,,,,,,,,10,549,0.23133912682533264,0.0162796787917614,0.21505942940711975,0.0,0.0,0.01685955934226513,0.31225982308387756,0.0,0.0
0.21600820124149323,0.005925827194005251,0.21008235216140747,0.0,0.0,0.006732317619025707,0.297853022813797,0.0,0.0,11,599,,,,,,,,,
,,,,,,,,,11,599,0.2138553261756897,0.00987289473414421,0.203982412815094,0.0,0.0,0.010521750897169113,0.2964576184749603,0.0,0.0
0.2357238531112671,0.02220062166452408,0.2135232388973236,0.0,0.0,0.022501666098833084,0.30401965975761414,0.0,0.0,12,649,,,,,,,,,
,,,,,,,,,12,649,0.22812950611114502,0.016867218539118767,0.2112622708082199,0.0,0.0,0.017352880910038948,0.2992534935474396,0.0,0.0
0.20665530860424042,0.014588317833840847,0.1920669674873352,0.0,0.0,0.015093215741217136,0.2778432369232178,0.0,0.0,13,699,,,,,,,,,
,,,,,,,,,13,699,0.22725500166416168,0.022965697571635246,0.2042892426252365,0.0,0.0,0.02340775728225708,0.2959243059158325,0.0,0.0
0.2031589150428772,0.01058326754719019,0.1925756335258484,0.0,0.0,0.011193466372787952,0.2750684916973114,0.0,0.0,14,749,,,,,,,,,
,,,,,,,,,14,749,0.20470470190048218,0.010792084038257599,0.1939125955104828,0.0,0.0,0.011391579173505306,0.28176772594451904,0.0,0.0
0.2343844622373581,0.031922150403261185,0.20246228575706482,0.0,0.0,0.03210793435573578,0.28760331869125366,0.0,0.0,15,799,,,,,,,,,
,,,,,,,,,15,799,0.19807152450084686,0.011124649085104465,0.18694686889648438,0.0,0.0,0.011672157794237137,0.2701093554496765,0.0,0.0
0.19626203179359436,0.01918228156864643,0.17707973718643188,0.0,0.0,0.01951209083199501,0.2588178515434265,0.0,0.0,16,849,,,,,,,,,
