val_Total_Loss,val_Energy_MAE,val_Force_MAE,val_Stress_MAE,val_Site_Wise_MAE,val_Energy_RMSE,val_Force_RMSE,val_Stress_RMSE,val_Site_Wise_RMSE,epoch,step,train_Total_Loss,train_Energy_MAE,train_Force_MAE,train_Stress_MAE,train_Site_Wise_MAE,train_Energy_RMSE,train_Force_RMSE,train_Stress_RMSE,train_Site_Wise_RMSE
0.4417904019355774,0.004363199695944786,0.43742722272872925,0.0,0.0,0.004375285468995571,0.6428126692771912,0.0,0.0,0,18,,,,,,,,,
,,,,,,,,,0,18,0.4361245632171631,0.00630900077521801,0.4298155605792999,0.0,0.0,0.0073852031491696835,0.6345110535621643,0.0,0.0
0.44039544463157654,0.0029801432974636555,0.43741536140441895,0.0,0.0,0.002997450530529022,0.6428012251853943,0.0,0.0,1,37,,,,,,,,,
,,,,,,,,,1,37,0.4340871572494507,0.0042877197265625,0.42979949712753296,0.0,0.0,0.006154811475425959,0.6347916722297668,0.0,0.0
0.44019779562950134,0.0028163655661046505,0.43738144636154175,0.0,0.0,0.002835640450939536,0.6427817940711975,0.0,0.0,2,56,,,,,,,,,
,,,,,,,,,2,56,0.4337105453014374,0.003930562175810337,0.429779976606369,0.0,0.0,0.005733293015509844,0.6346421837806702,0.0,0.0
0.44050362706184387,0.003246561624109745,0.43725714087486267,0.0,0.0,0.0032628600019961596,0.642716646194458,0.0,0.0,3,75,,,,,,,,,
,,,,,,,,,3,75,0.43353134393692017,0.0038104248233139515,0.4297209680080414,0.0,0.0,0.005802066531032324,0.6348678469657898,0.0,0.0
0.43997323513031006,0.0027601115871220827,0.43721312284469604,0.0,0.0,0.002781320596113801,0.6426952481269836,0.0,0.0,4,94,,,,,,,,,
,,,,,,,,,4,94,0.4338918924331665,0.004283752292394638,0.42960816621780396,0.0,0.0,0.005836000666022301,0.6346306800842285,0.0,0.0
0.4396120309829712,0.0027740478981286287,0.43683797121047974,0.0,0.0,0.0027983703184872866,0.6425181031227112,0.0,0.0,5,113,,,,,,,,,
,,,,,,,,,5,113,0.43345052003860474,0.003935547079890966,0.42951497435569763,0.0,0.0,0.005798253696411848,0.6346436738967896,0.0,0.0
0.4380958676338196,0.0025843302719295025,0.4355115294456482,0.0,0.0,0.002692283596843481,0.6418901085853577,0.0,0.0,6,132,,,,,,,,,
,,,,,,,,,6,132,0.43239307403564453,0.003807474859058857,0.42858564853668213,0.0,0.0,0.0055480157025158405,0.6342623233795166,0.0,0.0
0.4370994567871094,0.002403666265308857,0.4346957802772522,0.0,0.0,0.0025326921604573727,0.6414461731910706,0.0,0.0,7,151,,,,,,,,,
,,,,,,,,,7,151,0.43100401759147644,0.0033300782088190317,0.42767393589019775,0.0,0.0,0.004683246836066246,0.633622407913208,0.0,0.0
0.43597108125686646,0.0025601196102797985,0.4334109425544739,0.0,0.0,0.0026830085553228855,0.6408159136772156,0.0,0.0,8,170,,,,,,,,,
